"wq_name","site","model","month","Fut1diff_median","Fut2diff_median","Fut1like","Fut2like","Fut1med_use","Fut2med_use","X0"
"Turbidity Alafia R at Lithia","Alafia","GFDL-ESM2G","Jan",0.243295737477305,0.298079284013427,96,100,0.243295737477305,0.298079284013427,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-ESM2G","Feb",0.26183364272142,-0.0958148960332175,100,77,0.26183364272142,NA,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-ESM2G","Mar",-0.0845056718392123,-0.612869451801762,76,100,NA,-0.612869451801762,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-ESM2G","Apr",-0.4625853615635,-0.966525328399297,100,100,-0.4625853615635,-0.966525328399297,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-ESM2G","May",-0.369325463509087,-0.938239788876429,100,100,-0.369325463509087,-0.938239788876429,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-ESM2G","Jun",-0.53213754863577,-1.48916817747967,100,100,-0.53213754863577,-1.48916817747967,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-ESM2G","Jul",-0.704224107690557,-1.97068294893508,100,100,-0.704224107690557,-1.97068294893508,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-ESM2G","Aug",-1.07217389256583,-2.12215188495211,100,100,-1.07217389256583,-2.12215188495211,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-ESM2G","Sep",-0.418245225448313,-1.73300830942738,100,100,-0.418245225448313,-1.73300830942738,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-ESM2G","Oct",-0.184361960893237,-0.596687164573942,92,100,-0.184361960893237,-0.596687164573942,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-ESM2G","Nov",0.01414681119703,0.0628410064934002,57,73,NA,NA,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-ESM2G","Dec",0.0314499092468499,0.164712014320417,57,88,NA,0.164712014320417,NA
"Turbidity Alafia R at Lithia","Alafia","MIROC-ESM","Jan",-0.0951926566324175,-0.491848914059148,84,100,-0.0951926566324175,-0.491848914059148,NA
"Turbidity Alafia R at Lithia","Alafia","MIROC-ESM","Feb",-0.0346985855483999,-0.638616073637342,61,100,NA,-0.638616073637342,NA
"Turbidity Alafia R at Lithia","Alafia","MIROC-ESM","Mar",0.0824998414439726,-0.64306955310693,76,100,NA,-0.64306955310693,NA
"Turbidity Alafia R at Lithia","Alafia","MIROC-ESM","Apr",0.0921511493752578,-0.409559934197577,75,100,NA,-0.409559934197577,NA
"Turbidity Alafia R at Lithia","Alafia","MIROC-ESM","May",-0.413672982773505,-0.956938970312248,100,100,-0.413672982773505,-0.956938970312248,NA
"Turbidity Alafia R at Lithia","Alafia","MIROC-ESM","Jun",0.0279150884332477,-0.737992574748953,58,100,NA,-0.737992574748953,NA
"Turbidity Alafia R at Lithia","Alafia","MIROC-ESM","Jul",0.311577580622598,-0.876253516342775,100,100,0.311577580622598,-0.876253516342775,NA
"Turbidity Alafia R at Lithia","Alafia","MIROC-ESM","Aug",-0.413652346358365,-2.04236372128024,100,100,-0.413652346358365,-2.04236372128024,NA
"Turbidity Alafia R at Lithia","Alafia","MIROC-ESM","Sep",-0.708121706625847,-2.342435633105,100,100,-0.708121706625847,-2.342435633105,NA
"Turbidity Alafia R at Lithia","Alafia","MIROC-ESM","Oct",-0.19876889664471,-1.5503413113143,95,100,-0.19876889664471,-1.5503413113143,NA
"Turbidity Alafia R at Lithia","Alafia","MIROC-ESM","Nov",0.0145412045607973,-1.05412629861231,54,100,NA,-1.05412629861231,NA
