"title","Q_cfs_log_round","wq_orig"
"Nitrogen Hillsborough R at Morris Br",-7.703,NA
"Nitrogen Hillsborough R at Morris Br",-7.702,NA
"Nitrogen Hillsborough R at Morris Br",-7.701,NA
"Nitrogen Hillsborough R at Morris Br",-7.7,NA
"Nitrogen Hillsborough R at Morris Br",-7.699,NA
"Nitrogen Hillsborough R at Morris Br",-7.698,NA
"Nitrogen Hillsborough R at Morris Br",-7.697,NA
"Nitrogen Hillsborough R at Morris Br",-7.696,NA
"Nitrogen Hillsborough R at Morris Br",-7.695,NA
"Nitrogen Hillsborough R at Morris Br",-7.694,NA
"Nitrogen Hillsborough R at Morris Br",-7.693,NA
"Nitrogen Hillsborough R at Morris Br",-7.692,NA
"Nitrogen Hillsborough R at Morris Br",-7.691,NA
"Nitrogen Hillsborough R at Morris Br",-7.69,NA
"Nitrogen Hillsborough R at Morris Br",-7.689,NA
"Nitrogen Hillsborough R at Morris Br",-7.688,NA
"Nitrogen Hillsborough R at Morris Br",-7.687,NA
"Nitrogen Hillsborough R at Morris Br",-7.686,NA
"Nitrogen Hillsborough R at Morris Br",-7.685,NA
"Nitrogen Hillsborough R at Morris Br",-7.684,NA
"Nitrogen Hillsborough R at Morris Br",-7.683,NA
"Nitrogen Hillsborough R at Morris Br",-7.682,NA
"Nitrogen Hillsborough R at Morris Br",-7.681,NA
"Nitrogen Hillsborough R at Morris Br",-7.68,NA
"Nitrogen Hillsborough R at Morris Br",-7.679,NA
"Nitrogen Hillsborough R at Morris Br",-7.678,NA
"Nitrogen Hillsborough R at Morris Br",-7.677,NA
"Nitrogen Hillsborough R at Morris Br",-7.676,NA
"Nitrogen Hillsborough R at Morris Br",-7.675,NA
"Nitrogen Hillsborough R at Morris Br",-7.674,NA
"Nitrogen Hillsborough R at Morris Br",-7.673,NA
"Nitrogen Hillsborough R at Morris Br",-7.672,NA
"Nitrogen Hillsborough R at Morris Br",-7.671,NA
"Nitrogen Hillsborough R at Morris Br",-7.67,NA
"Nitrogen Hillsborough R at Morris Br",-7.669,NA
"Nitrogen Hillsborough R at Morris Br",-7.668,NA
"Nitrogen Hillsborough R at Morris Br",-7.667,NA
"Nitrogen Hillsborough R at Morris Br",-7.666,NA
"Nitrogen Hillsborough R at Morris Br",-7.665,NA
"Nitrogen Hillsborough R at Morris Br",-7.664,NA
"Nitrogen Hillsborough R at Morris Br",-7.663,NA
"Nitrogen Hillsborough R at Morris Br",-7.662,NA
"Nitrogen Hillsborough R at Morris Br",-7.661,NA
"Nitrogen Hillsborough R at Morris Br",-7.66,NA
"Nitrogen Hillsborough R at Morris Br",-7.659,NA
"Nitrogen Hillsborough R at Morris Br",-7.658,NA
"Nitrogen Hillsborough R at Morris Br",-7.657,NA
"Nitrogen Hillsborough R at Morris Br",-7.656,NA
"Nitrogen Hillsborough R at Morris Br",-7.655,NA
"Nitrogen Hillsborough R at Morris Br",-7.654,NA
"Nitrogen Hillsborough R at Morris Br",-7.653,NA
"Nitrogen Hillsborough R at Morris Br",-7.652,NA
"Nitrogen Hillsborough R at Morris Br",-7.651,NA
"Nitrogen Hillsborough R at Morris Br",-7.65,NA
"Nitrogen Hillsborough R at Morris Br",-7.649,NA
"Nitrogen Hillsborough R at Morris Br",-7.648,NA
"Nitrogen Hillsborough R at Morris Br",-7.647,NA
"Nitrogen Hillsborough R at Morris Br",-7.646,NA
"Nitrogen Hillsborough R at Morris Br",-7.645,NA
"Nitrogen Hillsborough R at Morris Br",-7.644,NA
"Nitrogen Hillsborough R at Morris Br",-7.643,NA
"Nitrogen Hillsborough R at Morris Br",-7.642,NA
"Nitrogen Hillsborough R at Morris Br",-7.641,NA
"Nitrogen Hillsborough R at Morris Br",-7.64,NA
"Nitrogen Hillsborough R at Morris Br",-7.639,NA
"Nitrogen Hillsborough R at Morris Br",-7.638,NA
"Nitrogen Hillsborough R at Morris Br",-7.637,NA
"Nitrogen Hillsborough R at Morris Br",-7.636,NA
"Nitrogen Hillsborough R at Morris Br",-7.635,NA
"Nitrogen Hillsborough R at Morris Br",-7.634,NA
"Nitrogen Hillsborough R at Morris Br",-7.633,NA
"Nitrogen Hillsborough R at Morris Br",-7.632,NA
"Nitrogen Hillsborough R at Morris Br",-7.631,NA
"Nitrogen Hillsborough R at Morris Br",-7.63,NA
"Nitrogen Hillsborough R at Morris Br",-7.629,NA
"Nitrogen Hillsborough R at Morris Br",-7.628,NA
"Nitrogen Hillsborough R at Morris Br",-7.627,NA
"Nitrogen Hillsborough R at Morris Br",-7.626,NA
"Nitrogen Hillsborough R at Morris Br",-7.625,NA
"Nitrogen Hillsborough R at Morris Br",-7.624,NA
"Nitrogen Hillsborough R at Morris Br",-7.623,NA
"Nitrogen Hillsborough R at Morris Br",-7.622,NA
"Nitrogen Hillsborough R at Morris Br",-7.621,NA
"Nitrogen Hillsborough R at Morris Br",-7.62,NA
"Nitrogen Hillsborough R at Morris Br",-7.619,NA
"Nitrogen Hillsborough R at Morris Br",-7.618,NA
"Nitrogen Hillsborough R at Morris Br",-7.617,NA
"Nitrogen Hillsborough R at Morris Br",-7.616,NA
"Nitrogen Hillsborough R at Morris Br",-7.615,NA
"Nitrogen Hillsborough R at Morris Br",-7.614,NA
"Nitrogen Hillsborough R at Morris Br",-7.613,NA
"Nitrogen Hillsborough R at Morris Br",-7.612,NA
"Nitrogen Hillsborough R at Morris Br",-7.611,NA
"Nitrogen Hillsborough R at Morris Br",-7.61,NA
"Nitrogen Hillsborough R at Morris Br",-7.609,NA
"Nitrogen Hillsborough R at Morris Br",-7.608,NA
"Nitrogen Hillsborough R at Morris Br",-7.607,NA
"Nitrogen Hillsborough R at Morris Br",-7.606,NA
"Nitrogen Hillsborough R at Morris Br",-7.605,NA
"Nitrogen Hillsborough R at Morris Br",-7.604,NA
