"Q_cfs_log_round","mu_mean","mu_025","mu_975","y_mean","y_025","y_975","title","in_or_out","method","max_flow_sampled","min_flow_sampled"
8.3,0.667585875897553,0.368404347877229,1.17250075628476,0.626571138939494,0.225514708828162,1.39617617261523,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
8.4,0.689250174971883,0.364599378673225,1.24772801522518,0.68049991985406,0.240254658746431,1.53968457338022,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
8.5,0.711571369537617,0.360390680123822,1.32781961863157,0.73206012891092,0.227080444757664,1.72289729952606,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
8.6,0.734608495974949,0.355824601376663,1.41302377623037,0.739568776886634,0.250811327901348,1.66511667530672,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
8.7,0.758424479049229,0.350945050853359,1.50471613939696,0.767276969257471,0.237806214069156,1.79978546245589,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
8.8,0.783086132148211,0.345041076237326,1.6024523406726,0.77974843164787,0.258212767953086,1.89396614447558,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
8.9,0.808664168008598,0.338875296286213,1.70652978676358,0.800910779594634,0.273909003539587,2.01823935497764,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
9,0.835233221547032,0.332531875937237,1.81736015103071,0.841692554094625,0.225119507063198,2.2646801476191,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
9.1,0.862871886019258,0.326051303072074,1.9353818662055,0.870549822168908,0.213678919319034,2.53611854576666,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
9.2,0.891662763333646,0.319482669055098,2.0610618639608,0.870886793484102,0.227090825687544,2.32010728267317,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
